Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
853;17718;;90;22762;6964;6104;1116;LINESTRING(14.6019 49.9813,14.6018 49.9809,14.6019 49.9805,14.6021 49.9800,14.6023 49.9797,14.6027 49.9795,14.6039 49.9790)
854;17720;;90;3841;7241;554;2804;LINESTRING(14.6018 49.9821,14.5992 49.9790)
855;17721;;90;1347;8199;729;1748;LINESTRING(14.6008 49.9786,14.6039 49.9790)
856;17722;;90;24109;15164;6833;2864;LINESTRING(14.6039 49.9790,14.6052 49.9789,14.6066 49.9789,14.6077 49.9787,14.6086 49.9782,14.6126 49.9750)
857;17723;;90;27643;19714;10602;5688;LINESTRING(14.6092 49.9794,14.6092 49.9810)
858;17724;D0 Prazsky okruh;43;33314;0;8898;0;LINESTRING(14.5957 49.9777,14.6016 49.9792,14.6034 49.9797,14.6046 49.9802,14.6055 49.9807,14.6065 49.9813,14.6075 49.9820,14.6084 49.9828,14.6090 49.9836,14.6098 49.9848)
859;17727;D0 Prazsky okruh;43;65732;54750;20615;17359;LINESTRING(14.5268 49.9625,14.5320 49.9626,14.5385 49.9626,14.5440 49.9627,14.5468 49.9631,14.5500 49.9638,14.5529 49.9648,14.5555 49.9660,14.5634 49.9693,14.5714 49.9716,14.5815 49.9742,14.5880 49.9758,14.5922 49.9769,14.5957 49.9777)
860;17729;;91;7718;0;510;0;LINESTRING(14.6020 49.9838,14.6066 49.9801,14.6067 49.9799,14.6067 49.9797,14.6066 49.9795,14.6062 49.9793,14.6057 49.9793,14.6053 49.9795,14.6050 49.9798,14.6051 49.9801)
861;17733;;93;18872;12575;2502;1202;LINESTRING(14.5209 49.9636,14.5191 49.9615)
862;17734;;93;19656;9991;1894;1030;LINESTRING(14.5268 49.9625,14.5252 49.9610)
863;17735;D0 Prazsky okruh;43;64083;57201;20593;17092;LINESTRING(14.5191 49.9615,14.5268 49.9625)
864;17745;;27;18411;7883;1951;426;LINESTRING(14.5084 49.9640,14.5209 49.9636)
865;17746;;27;16973;11016;1982;788;LINESTRING(14.5320 49.9696,14.5282 49.9664,14.5265 49.9651,14.5246 49.9642,14.5209 49.9636)
