Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
1131;21573;;90;15820;5232;5841;1176;LINESTRING(14.6126 49.9750,14.6157 49.9726,14.6173 49.9717)
1132;21574;;90;24858;15110;10325;5203;LINESTRING(14.6173 49.9717,14.6163 49.9730,14.6138 49.9751)
1133;21575;;90;34536;25340;11049;6644;LINESTRING(14.6138 49.9751,14.6101 49.9783,14.6096 49.9788,14.6092 49.9794)
1134;21576;;90;6893;5626;447;956;LINESTRING(14.6092 49.9794,14.6089 49.9798,14.6086 49.9800,14.6083 49.9802,14.6077 49.9803)
1135;21577;;90;10672;11980;1000;3880;LINESTRING(14.6077 49.9803,14.6074 49.9804,14.6070 49.9806,14.6051 49.9822)
1136;21578;;90;18247;11980;1492;3880;LINESTRING(14.6051 49.9822,14.6028 49.9840)
1137;21579;;90;18247;11980;1492;3880;LINESTRING(14.6028 49.9840,14.5995 49.9861)
1138;21580;;90;16453;27795;6050;8867;LINESTRING(14.5957 49.9777,14.6008 49.9786)
1139;21581;;90;15106;19596;5321;7119;LINESTRING(14.6008 49.9786,14.6038 49.9795)
1140;21582;;90;3779;6353;553;2924;LINESTRING(14.6038 49.9795,14.6051 49.9801)
1141;21583;;90;11328;13243;4768;4195;LINESTRING(14.6038 49.9795,14.6048 49.9792,14.6056 49.9791,14.6062 49.9791,14.6068 49.9792,14.6075 49.9791,14.6088 49.9787)
1142;21584;;90;24755;0;6142;0;LINESTRING(14.6098 49.9848,14.6089 49.9841)
1143;21585;;90;7575;0;491;0;LINESTRING(14.6089 49.9841,14.6086 49.9836,14.6082 49.9831,14.6078 49.9827,14.6074 49.9824,14.6069 49.9821,14.6064 49.9820,14.6057 49.9820,14.6051 49.9822)
1144;21586;HORNOMECHOL.;75;16736;16271;538;564;LINESTRING(14.5671 50.0447,14.5671 50.0455,14.5670 50.0461)
1145;21587;HORNOMECHOL.;75;16736;16271;538;564;LINESTRING(14.5635 50.0488,14.5657 50.0474,14.5662 50.0471,14.5666 50.0467,14.5669 50.0463,14.5670 50.0461)
1146;21588;;31;7003;10221;162;74;LINESTRING(14.5837 50.0021,14.5839 50.0031)
1147;21589;;31;7316;9987;159;62;LINESTRING(14.5830 50.0036,14.5833 50.0035,14.5837 50.0034,14.5838 50.0033,14.5839 50.0031)
1148;21590;;31;1408;4028;4;15;LINESTRING(14.6018 50.0094,14.5966 50.0080,14.5958 50.0074,14.5933 50.0066,14.5864 50.0039,14.5850 50.0033,14.5839 50.0031)
1149;21591;;31;3245;7150;16;161;LINESTRING(14.6355 49.9882,14.6334 49.9882,14.6328 49.9883,14.6322 49.9881,14.6308 49.9876,14.6294 49.9872,14.6280 49.9870,14.6263 49.9870,14.6234 49.9876,14.6214 49.9878)
1150;21592;;31;3864;9378;109;248;LINESTRING(14.6198 49.9877,14.6214 49.9878)
1151;21593;;31;721;2228;92;86;LINESTRING(14.6177 49.9991,14.6170 49.9986,14.6167 49.9981,14.6167 49.9972,14.6186 49.9930,14.6191 49.9924,14.6192 49.9911,14.6202 49.9896,14.6210 49.9891,14.6223 49.9890,14.6226 49.9888,14.6226 49.9883,14.6217 49.9882,14.6214 49.9878)
1152;21594;;81;2940;2119;128;98;LINESTRING(14.6356 50.0168,14.6404 50.0172,14.6442 50.0172,14.6454 50.0173,14.6488 50.0183,14.6493 50.0182)
1153;21595;;83;2940;2119;128;98;LINESTRING(14.6529 50.0183,14.6519 50.0181,14.6509 50.0186,14.6497 50.0180,14.6493 50.0182)
1154;21598;;83;1165;4843;38;82;LINESTRING(14.6353 50.0373,14.6359 50.0380,14.6366 50.0382,14.6393 50.0383)
1155;21599;;81;603;1978;38;28;LINESTRING(14.6585 50.0376,14.6526 50.0375,14.6508 50.0375,14.6483 50.0375,14.6452 50.0375,14.6438 50.0379,14.6421 50.0381,14.6410 50.0382,14.6393 50.0383)
1156;21600;;82;562;2865;0;54;LINESTRING(14.6393 50.0383,14.6399 50.0387,14.6382 50.0410,14.6384 50.0414,14.6438 50.0428)
1157;21601;;31;562;2865;0;54;LINESTRING(14.6438 50.0428,14.6466 50.0435,14.6478 50.0443,14.6486 50.0455,14.6497 50.0466,14.6516 50.0479,14.6533 50.0496)
1158;21602;;31;547;2254;2;43;LINESTRING(14.6659 50.0531,14.6533 50.0496)
1159;21603;;30;526;2831;2;95;LINESTRING(14.6533 50.0496,14.6518 50.0505,14.6497 50.0523,14.6483 50.0527,14.6477 50.0535)
1160;21604;;30;871;2943;17;99;LINESTRING(14.6451 50.0600,14.6460 50.0586,14.6463 50.0582,14.6466 50.0562,14.6472 50.0544,14.6477 50.0535)
1161;21607;I/12;22;23735;15647;3156;1420;LINESTRING(14.7543 50.0724,14.7614 50.0723)
1162;21610;;30;1325;1162;84;47;LINESTRING(14.7608 50.0534,14.7586 50.0580)
1163;21611;;30;1256;822;78;26;LINESTRING(14.7357 50.0666,14.7390 50.0674,14.7399 50.0669,14.7519 50.0613,14.7586 50.0580)
1164;21612;;30;69;340;6;21;LINESTRING(14.7614 50.0723,14.7612 50.0711,14.7604 50.0697,14.7603 50.0678,14.7602 50.0653,14.7590 50.0633,14.7582 50.0600,14.7586 50.0580)
1165;21614;;75;977;0;81;0;LINESTRING(14.6310 50.0709,14.6308 50.0716,14.6309 50.0723)
1166;21615;;75;4172;0;331;0;LINESTRING(14.6317 50.0744,14.6309 50.0723)
1167;21617;;92;1045;0;45;0;LINESTRING(14.7485 50.0725,14.7483 50.0719)
1168;21618;;92;1045;0;45;0;LINESTRING(14.7483 50.0719,14.7490 50.0711)
1169;21619;;92;1045;0;45;0;LINESTRING(14.7490 50.0711,14.7502 50.0709,14.7512 50.0711,14.7516 50.0717)
1170;21620;;92;0;0;0;0;LINESTRING(14.7516 50.0717,14.7512 50.0728)
1171;21621;;93;877;0;32;0;LINESTRING(14.7543 50.0724,14.7512 50.0728)
1172;21622;;93;0;0;0;0;LINESTRING(14.7483 50.0719,14.7456 50.0702)
1173;21623;;93;0;0;0;0;LINESTRING(14.7456 50.0702,14.7490 50.0711)
1174;21624;;93;1045;0;45;0;LINESTRING(14.7516 50.0717,14.7543 50.0724)
1175;21625;;92;877;0;32;0;LINESTRING(14.7512 50.0728,14.7505 50.0731,14.7494 50.0730)
1176;21626;;92;877;0;32;0;LINESTRING(14.7494 50.0730,14.7485 50.0725)
1177;21627;I/2;24;20136;18418;1715;1773;LINESTRING(14.6616 50.0023,14.6643 50.0006)
1178;21628;;29;17954;19415;633;2225;LINESTRING(14.6651 50.0028,14.6619 50.0009)
1179;21629;;93;8775;8128;424;1000;LINESTRING(14.6643 50.0006,14.6636 50.0004,14.6631 50.0004,14.6627 50.0005,14.6619 50.0009)
1180;21630;;93;1444;1582;4;14;LINESTRING(14.6643 50.0006,14.6653 50.0011,14.6658 50.0023,14.6657 50.0024,14.6651 50.0028)
1181;21631;;93;5037;8482;342;1077;LINESTRING(14.6616 50.0023,14.6622 50.0027,14.6625 50.0029,14.6631 50.0030,14.6637 50.0031,14.6642 50.0031,14.6646 50.0030,14.6651 50.0028)
1182;21632;;90;11497;6353;1063;2924;LINESTRING(14.6051 49.9801,14.6066 49.9809,14.6074 49.9815)
1183;21633;;91;3779;6353;553;2924;LINESTRING(14.6074 49.9815,14.6078 49.9816,14.6082 49.9815,14.6085 49.9814,14.6087 49.9811,14.6087 49.9808,14.6086 49.9806,14.6082 49.9804,14.6079 49.9804,14.6077 49.9803)
1184;21634;;90;15518;0;5489;0;LINESTRING(14.6092 49.9810,14.6093 49.9835)
1185;21635;;90;23237;0;5999;0;LINESTRING(14.6093 49.9835,14.6098 49.9848)
1186;21636;;90;7718;0;510;0;LINESTRING(14.6074 49.9815,14.6082 49.9822,14.6087 49.9827,14.6093 49.9835)
1187;21643;;31;2214;2322;27;63;LINESTRING(14.6872 50.0377,14.6865 50.0388,14.6860 50.0390)
1188;21645;;31;1870;2289;22;59;LINESTRING(14.6860 50.0390,14.6855 50.0392,14.6851 50.0397,14.6849 50.0409,14.6850 50.0412,14.6840 50.0415,14.6829 50.0422,14.6814 50.0442,14.6801 50.0461,14.6801 50.0465,14.6800 50.0469,14.6774 50.0502)
1189;21646;;31;1445;1552;20;22;LINESTRING(14.6707 50.0549,14.6717 50.0541,14.6729 50.0542,14.6736 50.0541,14.6743 50.0539,14.6774 50.0502)
1190;21648;;27;10082;10503;185;688;LINESTRING(14.7035 50.0720,14.7040 50.0725)
1191;21649;;27;6547;8187;185;688;LINESTRING(14.7121 50.0801,14.7113 50.0779,14.7106 50.0769,14.7098 50.0763,14.7040 50.0725)
1192;21650;;30;1238;1125;11;37;LINESTRING(14.7019 50.0572,14.7048 50.0594,14.7093 50.0626,14.7104 50.0632,14.7136 50.0642,14.7149 50.0647,14.7155 50.0650,14.7165 50.0656)
1193;21651;;30;1551;1520;11;37;LINESTRING(14.7228 50.0684,14.7225 50.0680,14.7209 50.0675,14.7202 50.0674,14.7198 50.0669,14.7191 50.0665,14.7181 50.0664,14.7173 50.0662,14.7165 50.0656)
1194;21653;;29;10244;8190;261;640;LINESTRING(14.6594 49.9943,14.6598 49.9948,14.6599 49.9965,14.6593 49.9968)
1195;21654;;29;15480;13198;324;666;LINESTRING(14.6577 49.9987,14.6580 49.9978,14.6593 49.9968)
1196;21656;;33;5594;8910;71;593;LINESTRING(14.6707 50.0549,14.6705 50.0557,14.6702 50.0561,14.6694 50.0565)
1197;21657;;33;6008;8781;98;339;LINESTRING(14.6675 50.0584,14.6686 50.0576,14.6690 50.0570,14.6690 50.0568,14.6694 50.0565)
1198;21658;;27;11514;7982;469;916;LINESTRING(14.7207 50.0453,14.7265 50.0476,14.7272 50.0478,14.7280 50.0478,14.7289 50.0477)
1199;21659;;27;11371;8460;469;918;LINESTRING(14.7312 50.0469,14.7302 50.0469,14.7299 50.0470,14.7289 50.0477)
1200;21660;;94;4170;0;517;0;LINESTRING(14.5920 50.0780,14.5915 50.0758)
1201;21661;;94;7087;0;1084;0;LINESTRING(14.5915 50.0758,14.5916 50.0750,14.5921 50.0740,14.5924 50.0735)
1202;21662;;94;2917;0;568;0;LINESTRING(14.5924 50.0735,14.5954 50.0707)
1203;21672;;81;1912;2059;5;152;LINESTRING(14.6318 50.0135,14.6312 50.0120,14.6313 50.0119,14.6313 50.0119,14.6314 50.0118,14.6315 50.0118,14.6316 50.0117,14.6318 50.0116,14.6319 50.0116,14.6322 50.0115,14.6324 50.0114,14.6328 50.0114,14.6330 50.0113,14.6331 50.0113)
1204;21673;;81;2474;2495;5;150;LINESTRING(14.6318 50.0135,14.6323 50.0158)
1205;21680;;31;2476;3144;13;76;LINESTRING(14.6901 50.0137,14.6871 50.0131,14.6861 50.0131,14.6849 50.0134,14.6826 50.0134,14.6811 50.0137,14.6806 50.0138,14.6795 50.0136,14.6785 50.0136,14.6774 50.0136,14.6766 50.0134,14.6760 50.0129,14.6755 50.0128,14.6744 50.0127)
1206;21681;;31;4483;4671;14;77;LINESTRING(14.6687 50.0129,14.6744 50.0127)
1207;21706;K DUBCI;82;4113;10404;79;241;LINESTRING(14.6394 50.0660,14.6388 50.0650,14.6381 50.0648)
1208;21707;;30;4410;2025;50;291;LINESTRING(14.6893 50.0656,14.6894 50.0680,14.6893 50.0686)
1209;21716;;81;4439;4212;123;316;LINESTRING(14.6647 50.0755,14.6656 50.0735,14.6659 50.0707)
1210;21717;;81;3115;3712;0;0;LINESTRING(14.6759 50.0701,14.6795 50.0722)
1211;21723;;31;577;351;19;18;LINESTRING(14.7465 50.0765,14.7440 50.0750,14.7410 50.0743,14.7379 50.0736,14.7371 50.0731)
1212;21725;;31;3582;2536;69;59;LINESTRING(14.7323 50.0722,14.7327 50.0708)
1213;21730;;33;2012;868;0;0;LINESTRING(14.7242 50.0733,14.7211 50.0756,14.7194 50.0764)
1214;21732;;27;7676;12232;601;1783;LINESTRING(14.5127 49.9684,14.5050 49.9714)
1215;21736;;27;16482;16798;2238;1499;LINESTRING(14.4984 49.9795,14.4948 49.9846)
1216;21737;;27;20077;17862;2261;1237;LINESTRING(14.4904 49.9910,14.4948 49.9846)
1217;21747;PRATELSTVI;75;8057;13924;825;1392;LINESTRING(14.6270 50.0216,14.6314 50.0192,14.6329 50.0183)
1218;21791;;81;4815;4936;138;73;LINESTRING(14.5564 50.1108,14.5567 50.1099,14.5567 50.1095,14.5567 50.1089)
1219;21792;;81;5470;5502;138;73;LINESTRING(14.5563 50.1082,14.5567 50.1089)
1220;21793;;99;134;166;0;43;LINESTRING(14.4796 50.0526,14.4788 50.0524,14.4775 50.0513)
1221;21806;;95;19035;14568;6194;4988;LINESTRING(14.5836 50.1180,14.5855 50.1181)
1222;21807;;95;19035;14568;6194;4988;LINESTRING(14.5855 50.1181,14.5861 50.1180,14.5867 50.1178,14.5872 50.1174)
1223;21809;;94;27712;21831;4780;3448;LINESTRING(14.5934 50.1201,14.5961 50.1211)
1224;21875;;75;15178;12010;825;367;LINESTRING(14.5751 50.1085,14.5751 50.1084,14.5739 50.1078)
1225;21876;;75;15176;12003;822;360;LINESTRING(14.5748 50.1098,14.5752 50.1086,14.5751 50.1085)
1226;22016;;53;30747;0;2138;0;LINESTRING(14.5974 50.0729,14.5950 50.0733,14.5937 50.0736)
1227;22017;;53;35859;0;2758;0;LINESTRING(14.5937 50.0736,14.5911 50.0744)
1228;22018;;94;5112;0;620;0;LINESTRING(14.5954 50.0707,14.5933 50.0735,14.5929 50.0744,14.5930 50.0749,14.5933 50.0751,14.5939 50.0751,14.5944 50.0748,14.5945 50.0743,14.5942 50.0740,14.5937 50.0736)
1229;22020;;98;4343;5783;667;730;LINESTRING(14.5939 50.0798,14.5936 50.0800,14.5933 50.0802,14.5929 50.0808)
1230;22021;;98;4079;6942;545;754;LINESTRING(14.5929 50.0808,14.5923 50.0805,14.5917 50.0803,14.5912 50.0803)
1231;50000;;27;9634;0;391;0;LINESTRING(14.6832 50.0226,14.6823 50.0221,14.6812 50.0216,14.6695 50.0186)
1232;50004;;27;9113;0;429;0;LINESTRING(14.7207 50.0453,14.7171 50.0418,14.7155 50.0402,14.7143 50.0394,14.6977 50.0296,14.6953 50.0286,14.6910 50.0272)
1233;50006;;27;3075;7982;46;916;LINESTRING(14.7207 50.0453,14.7200 50.0453,14.7168 50.0443,14.7162 50.0435,14.7156 50.0428)
1234;50008;;27;14034;8941;501;875;LINESTRING(14.7331 50.0482,14.7320 50.0499,14.7316 50.0524,14.7318 50.0543)
1235;50012;;31;1736;1033;17;24;LINESTRING(14.7308 50.1040,14.7333 50.1043,14.7347 50.1049,14.7354 50.1056,14.7361 50.1058,14.7395 50.1055)
1236;50014;;27;12356;11085;731;1724;LINESTRING(14.6989 50.1264,14.6985 50.1286,14.6986 50.1305)
1237;51740;;99;7741;10540;857;993;LINESTRING(14.5957 50.0814,14.5956 50.0807,14.5953 50.0801,14.5950 50.0799,14.5945 50.0798,14.5939 50.0798)
1238;51743;;98;4715;9303;693;978;LINESTRING(14.5906 50.0817,14.5904 50.0812,14.5905 50.0808,14.5908 50.0806,14.5912 50.0803)
1239;51767;;94;19035;14568;6194;4988;LINESTRING(14.5883 50.1154,14.5880 50.1166)
1240;51768;;98;7086;9955;377;288;LINESTRING(14.5879 50.1116,14.5851 50.1104)
1241;51769;;99;16943;4814;1128;188;LINESTRING(14.5888 50.1109,14.5896 50.1104,14.5898 50.1102,14.5897 50.1099,14.5895 50.1097)
1242;51770;;98;4824;4814;349;188;LINESTRING(14.5895 50.1097,14.5894 50.1096,14.5892 50.1096,14.5890 50.1095,14.5888 50.1096,14.5885 50.1096,14.5883 50.1097,14.5882 50.1098,14.5881 50.1099,14.5880 50.1100)
1243;51771;;99;12119;0;779;0;LINESTRING(14.5882 50.1086,14.5895 50.1097)
1244;51772;;94;26527;17129;3722;3250;LINESTRING(14.5938 50.0960,14.5939 50.0969)
1245;51773;;95;6433;0;202;0;LINESTRING(14.5939 50.0969,14.5934 50.0982)
1246;51774;;94;7843;0;225;0;LINESTRING(14.5934 50.0982,14.5922 50.1003)
1247;51775;;95;1410;0;23;0;LINESTRING(14.5922 50.1003,14.5915 50.1010)
1248;51799;;31;3028;3103;79;82;LINESTRING(14.6810 50.1118,14.6831 50.1119,14.6848 50.1117,14.6859 50.1122,14.6872 50.1132,14.6897 50.1143)
1249;51800;;31;2248;2908;81;110;LINESTRING(14.6973 50.1161,14.6941 50.1161,14.6939 50.1159,14.6916 50.1152,14.6909 50.1148,14.6897 50.1143)
1250;51844;;94;31280;0;3157;0;LINESTRING(14.5949 50.0748,14.5943 50.0753,14.5932 50.0758,14.5928 50.0762,14.5926 50.0765,14.5925 50.0769)
1251;51845;;94;27882;0;2967;0;LINESTRING(14.5925 50.0769,14.5920 50.0780)
1252;51846;;99;3398;0;190;0;LINESTRING(14.5925 50.0769,14.5925 50.0781,14.5929 50.0796,14.5933 50.0798,14.5939 50.0798)
1253;51847;;99;637;0;148;0;LINESTRING(14.5912 50.0803,14.5917 50.0801,14.5920 50.0798,14.5913 50.0772)
1254;51859;;82;10866;767;22;151;LINESTRING(14.6027 50.1179,14.6021 50.1149)
1255;51860;;82;11426;0;200;0;LINESTRING(14.6018 50.1135,14.6021 50.1149)
1256;51861;VE ZLIBKU;76;11864;13384;437;608;LINESTRING(14.6256 50.1175,14.6249 50.1192,14.6248 50.1197,14.6249 50.1212)
1257;51862;VE ZLIBKU;75;12072;13556;562;713;LINESTRING(14.6244 50.1224,14.6249 50.1212)
1258;52023;CESKOBRODSKA;75;16123;23469;785;1440;LINESTRING(14.6045 50.0805,14.6055 50.0805,14.6063 50.0806,14.6071 50.0808,14.6078 50.0810,14.6085 50.0811,14.6103 50.0812,14.6117 50.0812,14.6128 50.0810)
1259;52024;CESKOBRODSKA;75;15856;23427;741;1392;LINESTRING(14.6164 50.0810,14.6138 50.0810,14.6128 50.0810)
1260;52025;VE ZLIBKU;75;15573;13486;681;958;LINESTRING(14.6171 50.0868,14.6168 50.0859,14.6166 50.0825)
1261;52026;VE ZLIBKU;75;15865;13740;706;1004;LINESTRING(14.6164 50.0810,14.6166 50.0825)
1262;52047;NACHODSKA;74;13246;16061;614;664;LINESTRING(14.6256 50.1175,14.6198 50.1165)
1263;52048;NACHODSKA;74;13666;16509;663;667;LINESTRING(14.6130 50.1154,14.6198 50.1165)
1264;52049;;82;3718;3296;183;8;LINESTRING(14.6198 50.1165,14.6209 50.1153)
1265;52050;;82;1168;842;67;332;LINESTRING(14.6260 50.1161,14.6250 50.1160,14.6209 50.1153)
1266;52052;;30;1473;2052;19;290;LINESTRING(14.6799 50.0567,14.6798 50.0571,14.6797 50.0578,14.6798 50.0580,14.6802 50.0582,14.6806 50.0583,14.6807 50.0585,14.6810 50.0597,14.6819 50.0606)
1267;52053;;30;1827;2025;24;291;LINESTRING(14.6873 50.0643,14.6868 50.0640,14.6865 50.0634,14.6861 50.0631,14.6855 50.0629,14.6837 50.0620,14.6831 50.0617,14.6821 50.0608,14.6819 50.0606)
1268;52054;;33;1766;4051;29;311;LINESTRING(14.6694 50.0565,14.6708 50.0567,14.6725 50.0568,14.6736 50.0571,14.6756 50.0570,14.6775 50.0570)
1269;52055;;33;1203;3526;14;300;LINESTRING(14.6799 50.0567,14.6790 50.0570,14.6786 50.0570,14.6775 50.0570)
1270;52056;;30;1535;2260;24;47;LINESTRING(14.6799 50.0567,14.6806 50.0564,14.6817 50.0566,14.6831 50.0571,14.6843 50.0572)
1271;52057;;30;1320;1895;17;41;LINESTRING(14.7019 50.0572,14.6994 50.0560,14.6982 50.0561,14.6963 50.0554,14.6953 50.0557,14.6940 50.0562,14.6920 50.0568,14.6888 50.0573,14.6868 50.0571,14.6845 50.0572,14.6843 50.0572)
1272;52058;;33;800;1161;6;39;LINESTRING(14.6799 50.0567,14.6810 50.0530)
1273;52059;;33;461;899;2;37;LINESTRING(14.6774 50.0502,14.6813 50.0513,14.6815 50.0515,14.6810 50.0530)
1274;52148;;75;15426;0;504;0;LINESTRING(14.4781 49.9930,14.4784 49.9946,14.4782 49.9951,14.4768 49.9963)
1275;52161;;33;4689;0;361;0;LINESTRING(14.5858 49.9922,14.5832 49.9925,14.5814 49.9930,14.5765 49.9958)
1276;52175;;75;15768;0;531;0;LINESTRING(14.4761 49.9983,14.4762 49.9973,14.4765 49.9968,14.4768 49.9963)
1277;52176;;29;2732;3022;515;918;LINESTRING(14.5148 49.9675,14.5197 49.9676,14.5249 49.9688,14.5266 49.9691)
1278;52177;;29;7021;5825;1445;1094;LINESTRING(14.5320 49.9696,14.5274 49.9692,14.5266 49.9691)
1279;52178;;29;1278;1875;0;143;LINESTRING(14.5084 49.9640,14.5107 49.9664)
1280;52179;;29;1683;1460;0;98;LINESTRING(14.5127 49.9684,14.5107 49.9664)
1281;52181;;33;7093;7806;226;310;LINESTRING(14.5850 49.9964,14.5828 49.9967,14.5823 49.9969,14.5784 49.9991,14.5779 49.9994,14.5776 49.9998)
1282;52182;;33;7285;8719;194;289;LINESTRING(14.5763 50.0027,14.5776 49.9998)
1283;52186;;30;12056;9402;413;304;LINESTRING(14.5870 49.9855,14.5859 49.9864,14.5851 49.9876,14.5854 49.9901,14.5856 49.9911)
1284;52187;;30;12597;9448;457;304;LINESTRING(14.5858 49.9922,14.5856 49.9911)
1285;52189;;81;6593;11191;2772;2482;LINESTRING(14.6230 50.1253,14.6196 50.1246)
1286;52190;;81;2988;5130;1673;1431;LINESTRING(14.6080 50.1222,14.6196 50.1246)
1287;52191;;81;4343;6775;1235;1040;LINESTRING(14.6244 50.1224,14.6211 50.1217)
1288;52192;;81;2649;4994;875;754;LINESTRING(14.6094 50.1194,14.6211 50.1217)
1289;52198;;82;6980;10028;51;536;LINESTRING(14.5903 50.0391,14.5896 50.0399,14.5873 50.0427)
1290;52199;;82;7608;9915;245;348;LINESTRING(14.5848 50.0458,14.5873 50.0427)
1291;52201;U KUNR.LESA;75;15882;15370;155;392;LINESTRING(14.4876 50.0314,14.4876 50.0314,14.4878 50.0317,14.4878 50.0317)
1292;52202;U KUNR.LESA;75;15882;15370;155;392;LINESTRING(14.4881 50.0322,14.4878 50.0317)
1293;52203;ROZTYLSKA;72;17339;16374;292;459;LINESTRING(14.4906 50.0315,14.4895 50.0321)
1294;52204;ROZTYLSKA;72;17339;16374;292;459;LINESTRING(14.4888 50.0324,14.4895 50.0321)
1295;52205;POD CHODOVEM;72;23502;22721;629;750;LINESTRING(14.4890 50.0329,14.4899 50.0333,14.4899 50.0333)
1296;52206;POD CHODOVEM;72;23502;22721;629;750;LINESTRING(14.4907 50.0337,14.4899 50.0333)
1297;52212;;83;2900;2660;49;38;LINESTRING(14.4596 50.0188,14.4576 50.0172)
1298;52214;;83;2900;2660;49;38;LINESTRING(14.4572 50.0139,14.4570 50.0161,14.4576 50.0172)
1299;52219;;30;412;286;0;0;LINESTRING(14.5761 49.9826,14.5768 49.9833,14.5767 49.9836,14.5763 49.9838,14.5663 49.9867,14.5644 49.9867,14.5640 49.9866,14.5633 49.9864,14.5627 49.9865,14.5618 49.9869,14.5613 49.9869,14.5603 49.9867,14.5597 49.9871)
1300;52257;;29;6982;8071;108;621;LINESTRING(14.6990 50.1156,14.6986 50.1149,14.7002 50.1145,14.7023 50.1138,14.7025 50.1135)
1301;52261;;31;939;800;10;7;LINESTRING(14.5614 50.0017,14.5618 50.0016,14.5625 50.0014,14.5633 50.0010,14.5695 50.0015,14.5707 50.0016)
1302;52262;;31;1088;800;2;7;LINESTRING(14.5763 50.0027,14.5754 50.0026,14.5707 50.0016)
1303;52263;;33;2425;0;80;0;LINESTRING(14.5765 49.9958,14.5721 49.9984,14.5713 49.9995,14.5710 50.0003)
1304;52264;;33;1168;0;71;0;LINESTRING(14.5676 50.0042,14.5712 50.0021,14.5723 50.0014,14.5726 50.0008,14.5720 50.0004,14.5710 50.0003)
1305;52265;;33;1256;0;10;0;LINESTRING(14.5707 50.0016,14.5710 50.0003)
1306;52274;CESKOBRODSKA;74;18615;14672;1353;560;LINESTRING(14.5807 50.0843,14.5854 50.0826,14.5871 50.0823,14.5904 50.0818,14.5906 50.0817)
1307;52275;CESKOBRODSKA;74;12579;14672;1263;560;LINESTRING(14.5773 50.0853,14.5807 50.0843)
1308;52276;;82;7170;0;93;0;LINESTRING(14.5739 50.0824,14.5774 50.0827)
1309;52277;;82;7243;0;92;0;LINESTRING(14.5807 50.0843,14.5798 50.0831,14.5792 50.0828,14.5784 50.0826,14.5774 50.0827)
1310;53284;K MECHOLUPUM;75;15692;13676;566;502;LINESTRING(14.5635 50.0488,14.5631 50.0485,14.5631 50.0483,14.5631 50.0483,14.5632 50.0482,14.5634 50.0481,14.5636 50.0481,14.5638 50.0482,14.5639 50.0482,14.5640 50.0484,14.5642 50.0486,14.5647 50.0492,14.5655 50.0501)
1311;53285;K MECHOLUPUM;75;16158;13591;581;504;LINESTRING(14.5670 50.0518,14.5668 50.0514,14.5655 50.0501)
1312;53320;K DALNICI;75;13471;12492;180;410;LINESTRING(14.5987 50.0316,14.5947 50.0296)
1313;53321;K DALNICI;75;12861;11796;146;264;LINESTRING(14.5932 50.0286,14.5947 50.0296)
1314;53323;PRATELSTVI;75;6819;13767;684;1384;LINESTRING(14.6086 50.0314,14.6091 50.0312,14.6099 50.0311,14.6103 50.0309,14.6113 50.0304)
1315;53324;PRATELSTVI;75;7624;13924;790;1392;LINESTRING(14.6270 50.0216,14.6218 50.0245,14.6113 50.0304)
1316;53325;;81;3767;5912;44;125;LINESTRING(14.6086 50.0314,14.6091 50.0315,14.6094 50.0315,14.6098 50.0313,14.6120 50.0312)
1317;53326;;81;1896;4232;88;42;LINESTRING(14.6120 50.0312,14.6149 50.0311,14.6171 50.0315,14.6188 50.0319,14.6208 50.0322,14.6231 50.0329,14.6260 50.0337,14.6281 50.0342,14.6287 50.0346,14.6289 50.0349)
1318;53327;;81;814;157;115;7;LINESTRING(14.6113 50.0304,14.6118 50.0308,14.6120 50.0312)
1319;53402;;96;5006;3889;355;438;LINESTRING(14.5221 50.0655,14.5231 50.0660)
1320;53403;;99;5006;3889;355;438;LINESTRING(14.5188 50.0647,14.5221 50.0655)
1321;53450;CERNOKOSTEL.;72;32494;23531;2134;1629;LINESTRING(14.5310 50.0761,14.5333 50.0749,14.5344 50.0741,14.5352 50.0734,14.5355 50.0726,14.5356 50.0723)
1322;53451;CERNOKOSTEL.;72;32494;23531;2134;1629;LINESTRING(14.5373 50.0713,14.5367 50.0714,14.5361 50.0716,14.5358 50.0719,14.5356 50.0723)
1323;53452;;99;27006;21067;2382;3129;LINESTRING(14.5376 50.0734,14.5368 50.0734,14.5366 50.0733,14.5365 50.0732,14.5364 50.0730,14.5363 50.0728)
1324;53453;;99;27006;21067;2382;3129;LINESTRING(14.5366 50.0721,14.5363 50.0727,14.5363 50.0728)
1325;53639;;27;24233;21877;1720;1816;LINESTRING(14.7030 50.1270,14.7111 50.1281)
1326;53640;;27;6416;20317;193;1758;LINESTRING(14.7277 50.1305,14.7111 50.1281)
1327;53643;;27;17870;2370;1527;64;LINESTRING(14.7111 50.1281,14.7135 50.1262)
1328;53644;;27;16148;0;1464;0;LINESTRING(14.7309 50.1266,14.7192 50.1246,14.7176 50.1244,14.7161 50.1246,14.7152 50.1251,14.7135 50.1262)
1329;53647;;31;2868;;139;;LINESTRING(14.7407 50.1092,14.7397 50.1098,14.7396 50.1133,14.7391 50.1144,14.7365 50.1170,14.7348 50.1178,14.7334 50.1194,14.7327 50.1219,14.7309 50.1266)
1330;53648;;31;340;1835;2;62;LINESTRING(14.7299 50.1307,14.7309 50.1266)
